Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
ATHX,"Athersys, Inc.",1.325,N/A,211.50045,-4.24,N/A,1.535359354
ATI,"Allegheny Technologies, Inc.",20.15,N/A,2467.48345,9.85,N/A,1.674655863
ATKR,"Atkore International Group, Inc.",42.7,N/A,2000.02608,13.94,N/A,1.334501989
ATLO,Ames National Corp.,26.785,0.03567447,248.19093,14.42,0.514634931,0.605445695
ATNI,"ATN International, Inc.",60.68,0.011417058,952.84088,11882.35,133.3333333,1.104942613
ATNX,"Athenex, Inc.",15.26,N/A,1145.298,-8.39,N/A,1.054619771
ATRA,"Atara Biotherapeutics, Inc.",14.24,N/A,777.06685,-2.34,N/A,1.897597228
ATRC,"AtriCure, Inc.",42.64,N/A,1662.682,-70.66,N/A,0.94109863
ATRI,Atrion Corp.,668.73,0.008208736,1265.481,34.13,0.284839422,0.240590764
ATRO,Astronics Corp.,25.655,N/A,782.64576,8.49,N/A,1.461982265
ATRS,"Antares Pharma, Inc.",3.695,N/A,600.67168,-1088.24,N/A,0.71035306
ATSG,"Air Transport Services Group, Inc.",22.26,N/A,1309.74632,13.5,N/A,0.984210073
AUB,Atlantic Union Bankshares Corp.,34.93,0.027428571,2800.035,14.51,0.399135207,1.354098537
AVA,Avista Corp.,51.19,0.029992184,3414.2178,17.53,0.525594932,0.274236814
AVAV,"AeroVironment, Inc.",69.485,N/A,1662.81621,42.69,N/A,1.07456526
AVCO,Avalon GloboCare Corp.,1.475,N/A,113.6565,-7.27,N/A,1.047472746
AVD,American Vanguard Corp.,17.54,0.004522329,534.00803,29.29,0.133600534,1.32586206
AVDR,,22.99,N/A,402.8,N/A,0,N/A
AVID,"Avid Technology, Inc.",8.93,N/A,385.28855,-211.35,N/A,0.863036607
AVNS,"Avanos Medical, Inc.",29.76,N/A,1409.1126,-33.71,N/A,1.394025429
AVRO,"Avrobio, Inc.",26.955,N/A,861.68628,-10.26,N/A,1.529430393
AVX,AVX Corp.,20.54,0.022428084,3468.28202,16.89,0.378258367,1.196132292
AVXL,Anavex Life Sciences Corp.,4.6,N/A,249.325825,-9.17,N/A,1.854010233
AVYA,Avaya Holdings Corp.,13.39,N/A,1281.782824,-2.02,N/A,1.493840399
AWR,American States Water Co.,91.57,0.012410763,3354.19095,41.58,0.513076644,0.278546528
AX,"Axos Financial, Inc.",28.8,N/A,1744.15207,10.94,N/A,1.440584443
AXAS,Abraxas Petroleum Corp.,0.2595,N/A,40.78648,0.73,N/A,2.611333247
AXDX,"Accelerate Diagnostics, Inc.",16.705,N/A,910.3857,-10.67,N/A,1.301346561
AXE,"Anixter International, Inc.",98.49,N/A,3316.45293,12.79,N/A,1.54679101
AXGN,"AxoGen, Inc.",13.51,N/A,538.75185,-19.32,N/A,1.280991991
AXL,"American Axle & Manufacturing Holdings, Inc.",10.35,N/A,1106.76384,-3,N/A,2.678544722
